Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 40.00      0.06     0.06   172788     0.35     0.51  NSEOF::Stencils::FGHStencil::apply(NSEOF::FlowField&, int, int, int)
 13.33      0.08     0.02  8303956     0.00     0.00  NSEOF::VectorField::getVector(int, int, int)
 13.33      0.10     0.02       70   285.71   289.91  NSEOF::Stencils::VTKStencil::write(int)
  6.67      0.11     0.01  6062114     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int, int) const
  6.67      0.12     0.01  5769848     0.00     0.00  NSEOF::FlowField::getVelocity()
  6.67      0.13     0.01  1700940     0.01     0.01  NSEOF::ScalarField::getScalar(int, int, int)
  6.67      0.14     0.01   277100     0.04     0.04  NSEOF::Stencils::MaxUStencil::cellMaxValue(NSEOF::FlowField&, int, int, int)
  6.67      0.15     0.01   172788     0.06     0.08  NSEOF::Stencils::RHSStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.15     0.00  5936588     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int, int) const
  0.00      0.15     0.00  5911678     0.00     0.00  NSEOF::UniformMeshsize::getDz(int, int, int) const
  0.00      0.15     0.00  1801320     0.00     0.00  NSEOF::FlowField::getFGH()
  0.00      0.15     0.00  1036796     0.00     0.00  NSEOF::FlowField::getPressure()
  0.00      0.15     0.00   792364     0.00     0.00  NSEOF::IntScalarField::getValue(int, int, int)
  0.00      0.15     0.00   521669     0.00     0.00  NSEOF::FlowField::getFlags()
  0.00      0.15     0.00   246563     0.00     0.00  NSEOF::FlowField::getCellsZ() const
  0.00      0.15     0.00   172856     0.00     0.00  NSEOF::FlowField::getRHS()
  0.00      0.15     0.00   172788     0.00     0.00  NSEOF::Stencils::computeH3D(double const*, double const*, NSEOF::Parameters const&, double)
  0.00      0.15     0.00   172788     0.00     0.00  NSEOF::Stencils::MaxUStencil::applyFrontWall(NSEOF::FlowField&, int, int, int)
  0.00      0.15     0.00   172788     0.00     0.00  NSEOF::Stencils::ObstacleStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.15     0.00   172788     0.00     0.05  NSEOF::Stencils::VelocityStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.15     0.00   159253     0.00     0.00  NSEOF::FlowField::getCellsY() const
  0.00      0.15     0.00   140000     0.00     0.02  NSEOF::Stencils::VTKStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.15     0.00   140000     0.00     0.02  NSEOF::FlowField::getPressureAndVelocity(double&, double*, int, int, int)
  0.00      0.15     0.00    67843     0.00     0.00  NSEOF::FlowField::getCellsX() const
  0.00      0.15     0.00    39409     0.00     0.00  NSEOF::UniformMeshsize::getPosY(int, int, int) const
  0.00      0.15     0.00    36238     0.00     0.00  NSEOF::UniformMeshsize::getPosZ(int, int, int) const
  0.00      0.15     0.00    36168     0.00     0.00  NSEOF::Stencils::computeVelocity3D(int, int, int, double, NSEOF::Parameters const&)
  0.00      0.15     0.00    20332     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyBackWall(NSEOF::FlowField&, int, int, int)
