Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 33.33      0.04     0.04   172788     0.23     0.46  NSEOF::Stencils::FGHStencil::apply(NSEOF::FlowField&, int, int, int)
 16.67      0.06     0.02  7933696     0.00     0.00  NSEOF::VectorField::getVector(int, int, int)
 16.67      0.08     0.02  5466908     0.00     0.00  NSEOF::FlowField::getVelocity()
  8.33      0.09     0.01   793480     0.01     0.01  NSEOF::IntScalarField::getValue(int, int, int)
  8.33      0.10     0.01   161568     0.06     0.06  NSEOF::Stencils::computeH3D(double const*, double const*, NSEOF::Parameters const&, double)
  8.33      0.11     0.01   140000     0.07     0.08  NSEOF::Stencils::VTKStencil::apply(NSEOF::FlowField&, int, int, int)
  8.33      0.12     0.01      411    24.33   274.31  NSEOF::FieldIterator<NSEOF::FlowField>::iterate()
  0.00      0.12     0.00  5720414     0.00     0.00  NSEOF::UniformMeshsize::getDx(int, int, int) const
  0.00      0.12     0.00  5594896     0.00     0.00  NSEOF::UniformMeshsize::getDy(int, int, int) const
  0.00      0.12     0.00  5569978     0.00     0.00  NSEOF::UniformMeshsize::getDz(int, int, int) const
  0.00      0.12     0.00  1767660     0.00     0.00  NSEOF::FlowField::getFGH()
  0.00      0.12     0.00  1628180     0.00     0.00  NSEOF::ScalarField::getScalar(int, int, int)
  0.00      0.12     0.00   969476     0.00     0.00  NSEOF::FlowField::getPressure()
  0.00      0.12     0.00   521669     0.00     0.00  NSEOF::FlowField::getFlags()
  0.00      0.12     0.00   277100     0.00     0.01  NSEOF::Stencils::MaxUStencil::cellMaxValue(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00   246563     0.00     0.00  NSEOF::FlowField::getCellsZ() const
  0.00      0.12     0.00   172856     0.00     0.00  NSEOF::FlowField::getRHS()
  0.00      0.12     0.00   172788     0.00     0.02  NSEOF::Stencils::RHSStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00   172788     0.00     0.00  NSEOF::Stencils::MaxUStencil::applyFrontWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00   172788     0.00     0.02  NSEOF::Stencils::ObstacleStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00   172788     0.00     0.03  NSEOF::Stencils::VelocityStencil::apply(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00   159253     0.00     0.00  NSEOF::FlowField::getCellsY() const
  0.00      0.12     0.00   140000     0.00     0.01  NSEOF::FlowField::getPressureAndVelocity(double&, double*, int, int, int)
  0.00      0.12     0.00    67843     0.00     0.00  NSEOF::FlowField::getCellsX() const
  0.00      0.12     0.00    39413     0.00     0.00  NSEOF::UniformMeshsize::getPosY(int, int, int) const
  0.00      0.12     0.00    36238     0.00     0.00  NSEOF::UniformMeshsize::getPosZ(int, int, int) const
  0.00      0.12     0.00    36168     0.00     0.00  NSEOF::Stencils::computeVelocity3D(int, int, int, double, NSEOF::Parameters const&)
  0.00      0.12     0.00    20332     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyBackWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    20332     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyLeftWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    20332     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyFrontWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    20332     0.00     0.00  non-virtual thunk to NSEOF::Stencils::MaxUStencil::applyRightWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    18216     0.00     0.03  NSEOF::Stencils::BFInputVelocityStencil::applyLeftWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    18216     0.00     0.03  NSEOF::Stencils::MovingWallVelocityStencil::applyBackWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    18216     0.00     0.03  NSEOF::Stencils::MovingWallVelocityStencil::applyFrontWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    18216     0.00     0.04  NSEOF::Stencils::NeumannVelocityBoundaryStencil::applyRightWall(NSEOF::FlowField&, int, int, int)
  0.00      0.12     0.00    17952     0.00     0.00  NSEOF::Stencils::BFInputFGHStencil::applyLeftWall(NSEOF::FlowField&, int, int, int)
